City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Alakurtti,RU,2021-12-28 15:22:23,66.9672,30.3491,5.63,100,98,0.96
253,Plouzane,FR,2021-12-28 15:22:24,48.3833,-4.6167,53.92,87,75,16.11
254,Prabumulih,ID,2021-12-28 15:22:24,-3.45,104.25,74.25,97,100,2.89
255,Rawlins,US,2021-12-28 15:22:24,41.7911,-107.2387,14.22,69,40,9.22
256,Lagunas,PE,2021-12-28 15:22:25,-5.2269,-75.6753,88.68,58,96,3.38
257,Kontagora,NG,2021-12-28 15:22:25,10.3999,5.4695,93.29,12,33,4.85
258,Arman,RU,2021-12-28 15:22:25,59.7,150.1667,-9.87,76,95,12.91
259,Vila Velha,BR,2021-12-28 15:21:25,-20.3297,-40.2925,84.15,71,40,11.01
260,Kieta,PG,2021-12-28 15:22:26,-6.2167,155.6333,80.06,83,100,1.25
261,Mirnyy,RU,2021-12-28 15:22:26,62.5353,113.9611,-11.16,97,100,5.26
262,Nome,US,2021-12-28 15:22:27,64.5011,-165.4064,24.87,86,90,12.66
263,Bubaque,GW,2021-12-28 15:22:27,11.2833,-15.8333,81.07,59,26,10.02
264,Chiman,PK,2021-12-28 15:22:27,32.5463,73.8138,53.74,43,0,6.22
265,Zaragoza,ES,2021-12-28 15:18:44,41.6561,-0.8773,65.01,50,0,7.0
266,Upernavik,GL,2021-12-28 15:18:09,72.7868,-56.1549,-5.37,69,43,3.36
267,General Pico,AR,2021-12-28 15:21:15,-35.6566,-63.7568,96.64,12,79,7.31
268,Gimli,CA,2021-12-28 15:22:28,50.6336,-96.9907,-7.56,77,100,5.75
269,Bandarbeyla,SO,2021-12-28 15:22:29,9.4942,50.8122,77.36,64,18,14.07
270,Udachnyy,RU,2021-12-28 15:22:29,66.4167,112.4,-30.84,100,98,5.41
271,Kattivakkam,IN,2021-12-28 15:22:30,13.2167,80.3167,78.08,87,2,8.9
272,Kamenskiy,RU,2021-12-28 15:22:30,50.8855,45.488,-0.26,99,99,1.79
273,Santa Cruz,BO,2021-12-28 15:22:30,-17.8,-63.1667,94.46,46,20,5.75
274,Mahebourg,MU,2021-12-28 15:22:31,-20.4081,57.7,79.25,83,40,11.5
275,Mayo,US,2021-12-28 15:22:31,38.8876,-76.5119,51.87,82,1,1.01
